Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A757186,*Moo,2017-08-31 11:26:00,08/31/2017 11:26:00 AM,809 South Lamar Blvd in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rex-Mini Mix,White/Black,*Moo,2017-09-23 18:45:00,09/23/2017 06:45:00 PM,08/31/2016,Adoption,,Other,Neutered Male,1 year,Rex-Mini Mix,White/Black,23 days 07:19:00
A674312,Arnie,2014-03-11 11:48:00,03/11/2014 11:48:00 AM,2936 Barton Skyway in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Ferret Mix,Brown/White,Arnie,2014-03-16 18:02:00,03/16/2014 06:02:00 PM,03/11/2013,Adoption,,Other,Neutered Male,1 year,Ferret Mix,Brown/White,5 days 06:14:00
A806338,,2019-10-09 10:57:00,10/09/2019 10:57:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Other,Unknown,2 years,Guinea Pig,Tricolor,,2019-10-13 17:21:00,10/13/2019 05:21:00 PM,10/09/2017,Adoption,,Other,Unknown,2 years,Guinea Pig,Tricolor,4 days 06:24:00
A801597,,2019-08-06 13:27:00,08/06/2019 01:27:00 PM,3300 Killingsworth Lane in Pflugerville (TX),Stray,Normal,Other,Spayed Female,3 months,Ferret,Buff,,2019-08-09 19:10:00,08/09/2019 07:10:00 PM,05/06/2019,Adoption,,Other,Spayed Female,3 months,Ferret,Buff,3 days 05:43:00
A804423,Hayden,2019-09-14 15:14:00,09/14/2019 03:14:00 PM,Travis (TX),Owner Surrender,Normal,Other,Intact Male,3 months,Rat,White/Brown,Hayden,2019-09-18 17:58:00,09/18/2019 05:58:00 PM,06/01/2019,Adoption,,Other,Intact Male,3 months,Rat,White/Brown,4 days 02:44:00
A810684,Charlie,2019-12-18 11:37:00,12/18/2019 11:37:00 AM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,9 months,Hotot,White/Gray,Charlie,2020-01-14 18:52:00,01/14/2020 06:52:00 PM,03/18/2019,Adoption,,Other,Neutered Male,9 months,Hotot,White/Gray,27 days 07:15:00
A804624,Sprinkle Sparkles,2019-09-16 15:00:00,09/16/2019 03:00:00 PM,Austin (TX),Stray,Sick,Other,Spayed Female,6 years,Ferret,Sable,Sprinkle Sparkles,2019-09-28 16:40:00,09/28/2019 04:40:00 PM,09/16/2013,Adoption,,Other,Spayed Female,6 years,Ferret,Sable,12 days 01:40:00
A779391,*Jeremy,2018-08-31 11:20:00,08/31/2018 11:20:00 AM,6725 Circle S Road in Austin (TX),Stray,Normal,Other,Intact Female,2 years,Guinea Pig Mix,Red/White,*Jeremy,2018-09-15 19:37:00,09/15/2018 07:37:00 PM,08/31/2016,Adoption,,Other,Intact Female,2 years,Guinea Pig Mix,Red/White,15 days 08:17:00
A793603,*Jordan,2019-04-27 12:33:00,04/27/2019 12:33:00 PM,5100 Edenbourogh Lane in Austin (TX),Owner Surrender,Normal,Other,Intact Male,1 year,American Mix,White/Tan,*Jordan,2019-05-16 13:02:00,05/16/2019 01:02:00 PM,04/27/2018,Adoption,,Other,Neutered Male,1 year,American Mix,White/Tan,19 days 00:29:00
A807313,,2019-10-23 15:18:00,10/23/2019 03:18:00 PM,1215 West Slaughter Lane in Austin (TX),Stray,Normal,Other,Intact Female,1 year,Guinea Pig,Calico,,2019-10-27 15:44:00,10/27/2019 03:44:00 PM,10/23/2018,Adoption,,Other,Intact Female,1 year,Guinea Pig,Calico,4 days 00:26:00
A809939,*Pablo,2019-12-04 13:25:00,12/04/2019 01:25:00 PM,6301 W Slaughter Lane in Austin (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Brown,*Pablo,2020-01-03 15:13:00,01/03/2020 03:13:00 PM,12/04/2017,Adoption,,Other,Neutered Male,2 years,Rabbit Sh,Brown,30 days 01:48:00
A809939,*Pablo,2019-12-04 13:25:00,12/04/2019 01:25:00 PM,6301 W Slaughter Lane in Austin (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Brown,*Pablo,2020-02-10 18:27:00,02/10/2020 06:27:00 PM,12/04/2017,Adoption,,Other,Neutered Male,2 years,Rabbit Sh,Brown,68 days 05:02:00
A809939,*Pablo,2020-01-16 15:39:00,01/16/2020 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Other,Neutered Male,2 years,Rabbit Sh,Brown,*Pablo,2020-01-03 15:13:00,01/03/2020 03:13:00 PM,12/04/2017,Adoption,,Other,Neutered Male,2 years,Rabbit Sh,Brown,-14 days +23:34:00
A809939,*Pablo,2020-01-16 15:39:00,01/16/2020 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Other,Neutered Male,2 years,Rabbit Sh,Brown,*Pablo,2020-02-10 18:27:00,02/10/2020 06:27:00 PM,12/04/2017,Adoption,,Other,Neutered Male,2 years,Rabbit Sh,Brown,25 days 02:48:00
A733903,Spikes,2016-08-29 11:34:00,08/29/2016 11:34:00 AM,Del Valle (TX),Owner Surrender,Normal,Other,Intact Male,1 year,Guinea Pig Mix,Tricolor,Spikes,2016-08-29 22:38:00,08/29/2016 10:38:00 PM,08/29/2015,Adoption,,Other,Intact Male,1 year,Guinea Pig Mix,Tricolor,0 days 11:04:00
A786735,Thumper,2018-12-31 14:13:00,12/31/2018 02:13:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,8 months,Angora-French Mix,Brown,Thumper,2019-01-27 18:48:00,01/27/2019 06:48:00 PM,05/01/2018,Adoption,,Other,Neutered Male,8 months,Angora-French Mix,Brown,27 days 04:35:00
A818141,,2020-06-02 16:54:00,06/02/2020 04:54:00 PM,4604 Burnet Road in Austin (TX),Abandoned,Normal,Other,Intact Male,2 years,Guinea Pig,White/White,,2020-06-11 14:17:00,06/11/2020 02:17:00 PM,06/02/2018,Adoption,,Other,Intact Male,2 years,Guinea Pig,White/White,8 days 21:23:00
A823501,Teemo,2020-09-24 15:36:00,09/24/2020 03:36:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,7 months,Guinea Pig,Brown/White,Teemo,2020-10-07 11:26:00,10/07/2020 11:26:00 AM,02/24/2020,Adoption,,Other,Intact Male,7 months,Guinea Pig,Brown/White,12 days 19:50:00
A756864,*Salty,2017-08-26 13:58:00,08/26/2017 01:58:00 PM,12403 Mellow Meadow Drive in Austin (TX),Stray,Normal,Other,Neutered Male,4 years,Ferret,White/Silver,*Salty,2017-10-14 13:10:00,10/14/2017 01:10:00 PM,09/09/2012,Adoption,,Other,Neutered Male,5 years,Ferret,White/Silver,48 days 23:12:00
A820784,Muffin,2020-07-28 15:13:00,07/28/2020 03:13:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,7 months,Rabbit Lh,White/Brown,Muffin,2020-08-07 11:35:00,08/07/2020 11:35:00 AM,11/28/2019,Adoption,Foster,Other,Unknown,8 months,Rabbit Lh,White/Brown,9 days 20:22:00
A734240,,2016-09-03 12:04:00,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Intact Female,6 months,Rabbit Sh Mix,White/Black,,2016-09-18 10:41:00,09/18/2016 10:41:00 AM,03/03/2016,Adoption,,Other,Intact Female,6 months,Rabbit Sh Mix,White/Black,14 days 22:37:00
A774564,Scarlett O'H,2018-06-17 12:43:00,06/17/2018 12:43:00 PM,811 East 41St Street in Austin (TX),Stray,Normal,Other,Intact Female,2 years,Lop-Amer Fuzzy,White/Gray,Scarlett O'H,2018-07-28 12:10:00,07/28/2018 12:10:00 PM,06/17/2016,Adoption,,Other,Spayed Female,2 years,Lop-Amer Fuzzy,White/Gray,40 days 23:27:00
A819488,Nugget,2020-06-29 16:53:00,06/29/2020 04:53:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,1 year,Angora-French Mix,Buff,Nugget,2020-07-14 16:16:00,07/14/2020 04:16:00 PM,06/29/2019,Adoption,,Other,Intact Male,1 year,Angora-French Mix,Buff,14 days 23:23:00
A818911,Sage,2020-06-17 15:31:00,06/17/2020 03:31:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Guinea Pig,White/Brown,Sage,2020-06-23 16:15:00,06/23/2020 04:15:00 PM,04/17/2019,Adoption,,Other,Intact Female,1 year,Guinea Pig,White/Brown,6 days 00:44:00
A763750,*Louie,2017-12-15 13:35:00,12/15/2017 01:35:00 PM,8610 Ranch Road 620 in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Lionhead,Gray/Gray,*Louie,2018-01-08 17:10:00,01/08/2018 05:10:00 PM,12/15/2016,Adoption,,Other,Neutered Male,1 year,Lionhead,Gray/Gray,24 days 03:35:00
A763750,*Louie,2017-12-15 13:35:00,12/15/2017 01:35:00 PM,8610 Ranch Road 620 in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Lionhead,Gray/Gray,*Louie,2018-01-29 18:48:00,01/29/2018 06:48:00 PM,12/15/2016,Adoption,,Other,Neutered Male,1 year,Lionhead,Gray/Gray,45 days 05:13:00
A763750,*Louie,2018-01-14 14:30:00,01/14/2018 02:30:00 PM,Cedar Park (TX),Owner Surrender,Normal,Other,Neutered Male,1 year,Lionhead,Gray/Gray,*Louie,2018-01-08 17:10:00,01/08/2018 05:10:00 PM,12/15/2016,Adoption,,Other,Neutered Male,1 year,Lionhead,Gray/Gray,-6 days +02:40:00
A763750,*Louie,2018-01-14 14:30:00,01/14/2018 02:30:00 PM,Cedar Park (TX),Owner Surrender,Normal,Other,Neutered Male,1 year,Lionhead,Gray/Gray,*Louie,2018-01-29 18:48:00,01/29/2018 06:48:00 PM,12/15/2016,Adoption,,Other,Neutered Male,1 year,Lionhead,Gray/Gray,15 days 04:18:00
A723394,*Brian J.,2016-03-31 12:59:00,03/31/2016 12:59:00 PM,1420 E Anderson Ln in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh Mix,White/Black,*Brian J.,2016-06-03 17:09:00,06/03/2016 05:09:00 PM,03/31/2015,Adoption,,Other,Neutered Male,1 year,Rabbit Sh Mix,White/Black,64 days 04:10:00
A806336,,2019-10-09 10:57:00,10/09/2019 10:57:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Other,Unknown,2 years,Guinea Pig,Tricolor,,2019-10-13 17:21:00,10/13/2019 05:21:00 PM,10/09/2017,Adoption,,Other,Unknown,2 years,Guinea Pig,Tricolor,4 days 06:24:00
A801902,Caramel,2019-08-11 12:06:00,08/11/2019 12:06:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,4 years,Guinea Pig,White/Tan,Caramel,2019-08-14 15:06:00,08/14/2019 03:06:00 PM,08/11/2015,Adoption,,Other,Intact Female,4 years,Guinea Pig,White/Tan,3 days 03:00:00
A742811,*Thumper,2017-01-28 16:39:00,01/28/2017 04:39:00 PM,3501 Shoreline Dr in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Rabbit Sh Mix,Blue,*Thumper,2017-02-08 18:40:00,02/08/2017 06:40:00 PM,01/28/2016,Adoption,,Other,Neutered Male,1 year,Rabbit Sh Mix,Blue,11 days 02:01:00
A734247,*Hare-Iet,2016-09-03 12:04:00,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,2 months,Rex Mix,White/Tan,*Hare-Iet,2016-09-27 15:51:00,09/27/2016 03:51:00 PM,07/03/2016,Adoption,,Other,Spayed Female,2 months,Rex Mix,White/Tan,24 days 03:47:00
A723391,*Willow,2016-03-31 12:59:00,03/31/2016 12:59:00 PM,1420 E Anderson Ln in Austin (TX),Stray,Normal,Other,Spayed Female,1 year,Rabbit Sh Mix,White/Black,*Willow,2016-06-09 13:25:00,06/09/2016 01:25:00 PM,03/31/2015,Adoption,,Other,Spayed Female,1 year,Rabbit Sh Mix,White/Black,70 days 00:26:00
A755107,Shadow,2017-07-29 12:13:00,07/29/2017 12:13:00 PM,Austin (TX),Owner Surrender,Normal,Other,Spayed Female,1 year,Guinea Pig Mix,Black/Cream,Shadow,2017-07-30 18:04:00,07/30/2017 06:04:00 PM,07/29/2016,Adoption,,Other,Spayed Female,1 year,Guinea Pig Mix,Black/Cream,1 days 05:51:00
A752077,Snowflake,2017-06-17 14:08:00,06/17/2017 02:08:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,11 months,Rabbit Sh Mix,White,Snowflake,2017-07-01 16:00:00,07/01/2017 04:00:00 PM,06/30/2016,Adoption,,Other,Intact Male,1 year,Rabbit Sh Mix,White,14 days 01:52:00
A807009,Clementine,2019-10-19 14:48:00,10/19/2019 02:48:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,2 years,Dutch,Black/White,Clementine,2019-11-13 17:48:00,11/13/2019 05:48:00 PM,10/19/2017,Adoption,,Other,Spayed Female,2 years,Dutch,Black/White,25 days 03:00:00
A716654,,2015-11-22 16:26:00,11/22/2015 04:26:00 PM,3000 Rexford Dr in Austin (TX),Stray,Normal,Other,Unknown,3 months,Rabbit Sh Mix,White/Black,,2015-12-04 10:48:00,12/04/2015 10:48:00 AM,08/22/2015,Adoption,Foster,Other,Unknown,3 months,Rabbit Sh Mix,White/Black,11 days 18:22:00
A769259,,2018-04-02 13:27:00,04/02/2018 01:27:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,1 year,Cold Water Mix,Gold,,2018-05-08 12:28:00,05/08/2018 12:28:00 PM,04/02/2017,Adoption,Foster,Other,Unknown,1 year,Cold Water Mix,Gold,35 days 23:01:00
A751026,Sheldon,2017-06-03 13:29:00,06/03/2017 01:29:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,2 years,Turtle Mix,Green/Red,Sheldon,2017-06-03 18:44:00,06/03/2017 06:44:00 PM,06/03/2015,Adoption,,Other,Intact Female,2 years,Turtle Mix,Green/Red,0 days 05:15:00
A803292,Newg,2019-08-30 13:12:00,08/30/2019 01:12:00 PM,8501 Cameron in Austin (TX),Stray,Normal,Other,Intact Female,1 year,Guinea Pig,Tricolor,Newg,2019-09-14 18:00:00,09/14/2019 06:00:00 PM,08/30/2018,Adoption,,Other,Intact Female,1 year,Guinea Pig,Tricolor,15 days 04:48:00
A682985,*Edgar,2014-07-05 15:05:00,07/05/2014 03:05:00 PM,1773 Wells Branch Pkwy in Austin (TX),Stray,Normal,Other,Neutered Male,4 years,Ferret Mix,Sable/White,*Edgar,2014-07-22 14:07:00,07/22/2014 02:07:00 PM,07/06/2010,Adoption,Foster,Other,Neutered Male,4 years,Ferret Mix,Sable/White,16 days 23:02:00
A812609,Phoenix,2020-01-25 13:40:00,01/25/2020 01:40:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,1 year,Hamster,Brown/White,Phoenix,2020-01-27 13:10:00,01/27/2020 01:10:00 PM,01/25/2019,Adoption,,Other,Intact Male,1 year,Hamster,Brown/White,1 days 23:30:00
A734239,*Halle Bunny,2016-09-03 12:04:00,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,6 months,Rabbit Sh Mix,White/Tan,*Halle Bunny,2016-10-05 19:26:00,10/05/2016 07:26:00 PM,03/03/2016,Adoption,,Other,Spayed Female,7 months,Rabbit Sh Mix,White/Tan,32 days 07:22:00
A734239,*Halle Bunny,2016-11-16 16:40:00,11/16/2016 04:40:00 PM,Austin (TX),Owner Surrender,Normal,Other,Spayed Female,8 months,Rabbit Sh Mix,White/Tan,*Halle Bunny,2016-10-05 19:26:00,10/05/2016 07:26:00 PM,03/03/2016,Adoption,,Other,Spayed Female,7 months,Rabbit Sh Mix,White/Tan,-42 days +02:46:00
A718923,Fluff-Nilla,2016-01-09 12:41:00,01/09/2016 12:41:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Californian,White/Black,Fluff-Nilla,2016-03-08 19:06:00,03/08/2016 07:06:00 PM,01/09/2015,Adoption,,Other,Spayed Female,1 year,Californian,White/Black,59 days 06:25:00
A698380,Rose,2015-03-10 17:30:00,03/10/2015 05:30:00 PM,Melissa Oaks in Austin (TX),Stray,Normal,Other,Intact Female,1 year,Hamster,Fawn/White,Rose,2015-03-28 07:49:00,03/28/2015 07:49:00 AM,03/10/2014,Adoption,Foster,Other,Intact Female,1 year,Hamster,Fawn/White,17 days 14:19:00
A755670,*Carat,2017-08-07 11:58:00,08/07/2017 11:58:00 AM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,2 months,Rabbit Sh Mix,White,*Carat,2017-08-19 11:24:00,08/19/2017 11:24:00 AM,06/02/2017,Adoption,,Other,Spayed Female,2 months,Rabbit Sh Mix,White,11 days 23:26:00
A748545,Baby,2018-04-03 12:12:00,04/03/2018 12:12:00 PM,Leander (TX),Owner Surrender,Normal,Other,Spayed Female,1 year,Ferret Mix,Brown,Baby,2017-05-07 12:48:00,05/07/2017 12:48:00 PM,07/03/2016,Adoption,,Other,Spayed Female,10 months,Ferret Mix,Brown,-331 days +00:36:00
A748545,Baby,2017-05-03 17:15:00,05/03/2017 05:15:00 PM,1704 Nelms Dr in Austin (TX),Stray,Normal,Other,Spayed Female,9 months,Ferret Mix,Brown,Baby,2017-05-07 12:48:00,05/07/2017 12:48:00 PM,07/03/2016,Adoption,,Other,Spayed Female,10 months,Ferret Mix,Brown,3 days 19:33:00
A752706,*Stranger,2017-06-26 12:55:00,06/26/2017 12:55:00 PM,Quicksilver Blvd And Canella Dr in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh Mix,White,*Stranger,2017-08-19 14:02:00,08/19/2017 02:02:00 PM,06/26/2016,Adoption,,Other,Neutered Male,1 year,Rabbit Sh Mix,White,54 days 01:07:00
A740026,*Fergus,2016-12-10 13:38:00,12/10/2016 01:38:00 PM,Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh Mix,White/Gray,*Fergus,2017-01-12 14:00:00,01/12/2017 02:00:00 PM,12/10/2015,Adoption,,Other,Neutered Male,1 year,Rabbit Sh Mix,White/Gray,33 days 00:22:00
A734251,*Marilyn Bun,2016-09-03 12:04:00,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,8 months,Hotot Mix,White/Black,*Marilyn Bun,2016-10-05 22:05:00,10/05/2016 10:05:00 PM,01/03/2016,Adoption,,Other,Spayed Female,9 months,Hotot Mix,White/Black,32 days 10:01:00
A734251,*Marilyn Bun,2016-09-03 12:04:00,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,8 months,Hotot Mix,White/Black,*Marilyn Bun,2016-12-12 12:19:00,12/12/2016 12:19:00 PM,01/03/2016,Adoption,,Other,Spayed Female,11 months,Hotot Mix,White/Black,100 days 00:15:00
A734251,*Marilyn Bun,2016-11-16 16:40:00,11/16/2016 04:40:00 PM,Austin (TX),Owner Surrender,Normal,Other,Spayed Female,10 months,Hotot Mix,White/Black,*Marilyn Bun,2016-10-05 22:05:00,10/05/2016 10:05:00 PM,01/03/2016,Adoption,,Other,Spayed Female,9 months,Hotot Mix,White/Black,-42 days +05:25:00
A734251,*Marilyn Bun,2016-11-16 16:40:00,11/16/2016 04:40:00 PM,Austin (TX),Owner Surrender,Normal,Other,Spayed Female,10 months,Hotot Mix,White/Black,*Marilyn Bun,2016-12-12 12:19:00,12/12/2016 12:19:00 PM,01/03/2016,Adoption,,Other,Spayed Female,11 months,Hotot Mix,White/Black,25 days 19:39:00
A769262,,2018-04-02 13:27:00,04/02/2018 01:27:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,1 year,Cold Water Mix,Gold,,2018-05-08 12:29:00,05/08/2018 12:29:00 PM,04/02/2017,Adoption,Foster,Other,Unknown,1 year,Cold Water Mix,Gold,35 days 23:02:00
A818142,,2020-06-02 16:54:00,06/02/2020 04:54:00 PM,4604 Burnet Road in Austin (TX),Abandoned,Normal,Other,Intact Female,3 weeks,Guinea Pig,Tricolor,,2020-06-12 11:22:00,06/12/2020 11:22:00 AM,05/09/2020,Adoption,,Other,Intact Female,4 weeks,Guinea Pig,Tricolor,9 days 18:28:00
A771519,,2018-05-06 11:54:00,05/06/2018 11:54:00 AM,11416 Robert Wooding Drive in Austin (TX),Stray,Normal,Other,Unknown,1 year,Ferret Mix,Black/Tan,,2018-05-10 13:20:00,05/10/2018 01:20:00 PM,05/06/2017,Adoption,,Other,Unknown,1 year,Ferret Mix,Black/Tan,4 days 01:26:00
A796839,*Happy,2019-06-05 18:56:00,06/05/2019 06:56:00 PM,7015 Colony Loop Drive in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Californian,White/Blue,*Happy,2019-08-04 11:36:00,08/04/2019 11:36:00 AM,06/05/2018,Adoption,,Other,Neutered Male,1 year,Californian,White/Blue,59 days 16:40:00
A748187,Bb,2017-04-30 14:28:00,04/30/2017 02:28:00 PM,1020 E 45Th St in Austin (TX),Owner Surrender,Normal,Other,Neutered Male,9 months,Lionhead Mix,Black,Bb,2017-05-05 15:01:00,05/05/2017 03:01:00 PM,06/30/2016,Adoption,,Other,Neutered Male,10 months,Lionhead Mix,Black,5 days 00:33:00
A820844,*Blynken,2020-07-30 13:07:00,07/30/2020 01:07:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,1 year,Guinea Pig,White,*Blynken,2020-08-04 07:29:00,08/04/2020 07:29:00 AM,07/30/2019,Adoption,Foster,Other,Unknown,1 year,Guinea Pig,White,4 days 18:22:00
