Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating,Found State,Found City
816743,*Jerry,2020-04-26 13:16:00,6503 Lynch L,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby,2020-06-02 08:50:00,3/27/2020,Adoption,Foster,Neutered Male,2 months,36 days 19:34:00,36,D,TX,Austin 
816741,,2020-04-26 13:00:00,1015 Fieldwood Drive,Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair,Orange Tabby,2020-04-26 14:48:00,4/23/2020,Transfer,Partner,Unknown,3 days,0 days 01:48:00,0,Not Adopted,TX,Austin 
816740,,2020-04-26 13:00:00,1015 Fieldwood Drive,Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair,Orange Tabby,2020-04-26 14:48:00,4/23/2020,Transfer,Partner,Unknown,3 days,0 days 01:48:00,0,Not Adopted,TX,Austin 
816738,Katy,2020-04-26 11:27:00,1701 Red Rive,Public Assist,Normal,Dog,Intact Female,2 years,German Shepherd,Black/Brown,2020-06-09 08:37:00,12/26/2017,Adoption,Foster,Spayed Female,2 years,43 days 21:10:00,43,D,TX,Austin 
816737,Rumington,2020-04-26 11:25:00,14911 Jolynn S,Stray,Sick,Cat,Neutered Male,12 years,Domestic Medium Hair,Orange Tabby,2020-04-26 14:33:00,4/26/2008,Euthanasia,Suffering,Neutered Male,12 years,0 days 03:08:00,0,Not Adopted,TX,Austin 
816727,*Rocky,2020-04-26 09:15:00,10800 Dinah Rd,Stray,Injured,Cat,Neutered Male,5 years,Domestic Longhair,Brown Tabby/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
816725,,2020-04-26 07:56:00,3400 South Congre,Public Assist,Nursing,Cat,Intact Male,2 weeks,Siamese mix,Lilac Point,2020-04-26 14:50:00,4/10/2020,Transfer,Partner,Intact Male,2 weeks,0 days 06:54:00,0,Not Adopted,TX,Austin 
816724,,2020-04-25 22:32:00,1807 W Sluaghter L,Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,2020-04-26 09:21:00,4/25/2018,Euthanasia,Rabies Risk,Unknown,2 years,0 days 10:49:00,0,Not Adopted,TX,Austin 
816723,*Elroy,2020-04-25 17:14:00,Spicewood Springs Rd Capital Of Tex,Stray,Injured,Dog,Neutered Male,12 years,Labrador Retriever,Tan,2020-06-12 08:34:00,4/26/2008,Euthanasia,At Vet,Neutered Male,12 years,47 days 15:20:00,47,Not Adopted,TX,Travis 
816714,,2020-04-25 11:56:00,1009 West 26Th Stree,Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby/White,2020-04-25 17:17:00,4/10/2020,Transfer,Partner,Unknown,2 weeks,0 days 05:21:00,0,Not Adopted,TX,Austin 
816713,,2020-04-25 11:56:00,1009 West 26Th Stree,Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby,2020-04-25 17:17:00,4/10/2020,Transfer,Partner,Unknown,2 weeks,0 days 05:21:00,0,Not Adopted,TX,Austin 
816712,,2020-04-25 11:56:00,1009 West 26Th Stree,Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby/White,2020-04-25 17:17:00,4/10/2020,Transfer,Partner,Unknown,2 weeks,0 days 05:21:00,0,Not Adopted,TX,Austin 
816711,,2020-04-25 11:56:00,1009 West 26Th Stree,Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby/White,2020-04-25 17:17:00,4/10/2020,Transfer,Partner,Unknown,2 weeks,0 days 05:21:00,0,Not Adopted,TX,Austin 
816710,,2020-04-25 11:56:00,1009 West 26Th Stree,Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Tortie,2020-04-25 17:17:00,4/10/2020,Transfer,Partner,Unknown,2 weeks,0 days 05:21:00,0,Not Adopted,TX,Austin 
816699,*Darla,2020-04-25 09:26:00,183 And Cameron Road,Public Assist,Normal,Dog,Intact Female,4 weeks,Labrador Retriever Mix,Black/White,2020-04-30 15:18:00,3/25/2020,Transfer,Partner,Intact Female,1 month,5 days 05:52:00,5,Not Adopted,TX,Austin 
816694,Patches,2020-04-25 07:30:00,Brighton Road,Stray,Sick,Cat,Spayed Female,15 years,Domestic Medium Hair,Calico,2020-04-25 11:46:00,4/25/2005,Return to Owner,,Spayed Female,15 years,0 days 04:16:00,0,Not Adopted,TX,Austin 
816693,*Stella,2020-04-25 07:27:00,1012 Fieldwood D,Stray,Injured,Cat,Intact Female,6 months,Domestic Shorthair,Black,2020-05-21 10:41:00,10/25/2019,Adoption,Foster,Spayed Female,6 months,26 days 03:14:00,26,C,TX,Austin 
816688,Molly,2020-04-24 15:39:00,9500 Dessau Road,Owner Surrender,Sick,Dog,Spayed Female,7 years,Dachshund,Black/Brown,2020-05-04 13:36:00,4/24/2013,Return to Owner,,Spayed Female,7 years,9 days 21:57:00,9,Not Adopted,TX,Austin 
816686,,2020-04-24 15:19:00,18809 Littig Rd,Stray,Injured,Dog,Intact Female,2 years,Chihuahua Shorthair,Tan,2020-04-27 09:42:00,4/24/2018,Euthanasia,Suffering,Intact Female,2 years,2 days 18:23:00,2,Not Adopted,TX,Austin 
816680,Stitch,2020-04-24 12:25:00,,Owner Surrender,Normal,Dog,Spayed Female,10 years,Australian Kelpie Mix,Brown Brindle,2020-06-02 07:02:00,4/24/2010,Adoption,Foster,Spayed Female,10 years,38 days 18:37:00,38,D,TX,Austin 
816658,*Newton,2020-04-24 09:10:00,12117 Sunderland Drive,Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Tan/White,2020-05-19 08:38:00,4/24/2018,Adoption,Foster,Neutered Male,2 years,24 days 23:28:00,24,C,TX,Austin 
816657,,2020-04-24 07:53:00,14610 Pebble Bed Way in Pflugerville,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby,2020-05-08 10:54:00,4/24/2018,Transfer,Partner,Neutered Male,2 years,14 days 03:01:00,14,Not Adopted,TX,rville 
816648,,2020-04-23 15:58:00,5800 Techni Center Drive,Stray,Sick,Dog,Intact Female,4 months,Pit Bull,Brown Brindle,2020-04-24 18:00:00,11/23/2019,Transfer,Partner,Intact Female,5 months,1 days 02:02:00,1,Not Adopted,TX,Austin 
816641,Max,2020-04-23 14:32:00,,Stray,Normal,Dog,Intact Male,11 months,German Shepherd Mix,Sable,2020-05-14 09:34:00,5/23/2019,Adoption,Foster,Neutered Male,11 months,20 days 19:02:00,20,C,TX,Austin 
816636,Sugar,2020-04-23 13:27:00,4434 Frontie,Stray,Injured,Cat,Intact Male,11 months,Domestic Shorthair,Brown Tabby,2020-05-17 12:03:00,5/14/2019,Rto-Adopt,,Neutered Male,1 year,23 days 22:36:00,23,Not Adopted,TX,Austin 
816630,,2020-04-23 12:41:00,506 Delmar Avenue,Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair,White/Brown Tabby,2020-04-23 15:21:00,4/1/2020,Transfer,Partner,Intact Male,3 weeks,0 days 02:40:00,0,Not Adopted,TX,Austin 
816623,,2020-04-23 11:01:00,3400 Howard Lane,Stray,Normal,Dog,Neutered Male,2 years,Siberian Husky,Black/White,2020-04-27 10:50:00,4/23/2018,Transfer,Partner,Neutered Male,2 years,3 days 23:49:00,3,Not Adopted,TX,Austin 
816622,,2020-04-23 10:27:00,3101 Shoreline D,Stray,Sick,Dog,Intact Female,1 month,Pit Bull,Tan/White,2020-04-23 15:20:00,3/8/2020,Transfer,Partner,Intact Female,1 month,0 days 04:53:00,0,Not Adopted,TX,Austin 
816620,Buck,2020-04-23 09:15:00,Waller Street And East 5Th Stree,Public Assist,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,Brown/White,2020-04-25 16:35:00,4/23/2017,Return to Owner,,Intact Male,3 years,2 days 07:20:00,2,Not Adopted,TX,Austin 
816616,Jj,2020-04-23 07:48:00,8706 Decker Lane,Stray,Injured,Dog,Intact Male,2 years,Great Pyrenees,White,2020-04-29 12:00:00,4/23/2018,Transfer,Partner,Intact Male,2 years,6 days 04:12:00,6,Not Adopted,TX,Austin 
816591,Wally,2020-04-22 12:06:00,Fm 969 And Decker Lane,Stray,Normal,Dog,Intact Male,1 year,Maltese/Miniature Poodle,White,2020-04-27 10:51:00,4/22/2019,Transfer,Partner,Intact Male,1 year,4 days 22:45:00,4,Not Adopted,TX,Austin 
816588,,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Female,1 day,Domestic Shorthair,Orange Tabby,2020-04-29 15:10:00,4/21/2020,Died,In Foster,Intact Female,1 weeks,7 days 03:24:00,7,Not Adopted,TX,Austin 
816587,*Ginger,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Female,1 day,Domestic Shorthair,Orange Tabby,2020-06-24 07:25:00,4/21/2020,Adoption,Foster,Spayed Female,2 months,62 days 19:39:00,62,D,TX,Austin 
816586,*Red,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Orange Tabby,2020-06-23 08:41:00,4/21/2020,Adoption,Foster,Neutered Male,2 months,61 days 20:55:00,61,D,TX,Austin 
816585,*Blue,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Brown Tabby,2020-06-23 08:36:00,4/21/2020,Adoption,Foster,Neutered Male,2 months,61 days 20:50:00,61,D,TX,Austin 
816584,*Barry,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Brown Tabby,2020-06-23 08:35:00,4/21/2020,Adoption,Foster,Neutered Male,2 months,61 days 20:49:00,61,D,TX,Austin 
816583,*Peaches,2020-04-22 11:46:00,William Cannon Drive,Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair,Torbie,2020-06-10 16:00:00,4/22/2019,Adoption,,Spayed Female,1 year,49 days 04:14:00,49,D,TX,Austin 
816575,*Wilbur,2020-04-22 08:11:00,201 Swallow Court in Hay,Stray,Injured,Dog,Intact Male,2 years,Labrador Retriever Mix,Brown/White,2020-09-23 11:01:00,4/22/2018,Adoption,Foster,Neutered Male,2 years,154 days 02:50:00,15,C,TX,n Hays 
816574,*Bizzie,2020-04-22 08:25:00,8001 S Ih 35,Stray,Injured,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,2020-05-26 13:44:00,2/8/2020,Adoption,Foster,Neutered Male,3 months,34 days 05:19:00,34,D,TX,Austin 
816543,,2020-04-21 11:02:00,14005 Layne Loop,Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair,Black,2020-04-21 12:15:00,4/21/2018,Euthanasia,Suffering,Intact Female,2 years,0 days 01:13:00,0,Not Adopted,TX,Travis 
816537,,2020-04-20 19:12:00,421 W 3Rd,Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2020-04-26 09:19:00,4/20/2019,Euthanasia,Rabies Risk,Unknown,1 year,5 days 14:07:00,5,Not Adopted,TX,Austin 
816536,,2020-04-20 17:00:00,1111 West Anderson Lane,Wildlife,Injured,Other,Unknown,2 years,Bat,Brown,2020-04-21 07:55:00,4/20/2018,Euthanasia,Rabies Risk,Unknown,2 years,0 days 14:55:00,0,Not Adopted,TX,Austin 
816528,*Dollie,2020-04-17 00:00:00,,Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair,Blue/White,2020-05-06 13:35:00,4/17/2020,Transfer,Partner,Intact Female,2 weeks,19 days 13:35:00,19,Not Adopted,TX,Austin 
816527,*Ruth,2020-04-17 00:00:00,,Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair,Blue/White,2020-05-06 13:35:00,4/17/2020,Transfer,Partner,Intact Female,2 weeks,19 days 13:35:00,19,Not Adopted,TX,Austin 
816526,*Oliver,2020-04-17 00:00:00,,Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair,White,2020-05-06 13:35:00,4/17/2020,Transfer,Partner,Intact Male,2 weeks,19 days 13:35:00,19,Not Adopted,TX,Austin 
816523,Mrs. Norris,2020-04-20 13:22:00,,Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Medium Hair,Torbie,2020-06-01 19:33:00,4/21/2011,Adoption,,Spayed Female,9 years,42 days 06:11:00,42,D,TX,Austin 
816512,,2020-04-20 11:21:00,11615 Star View Trail,Wildlife,Sick,Other,Unknown,2 years,Bat,Brown,2020-04-21 07:52:00,4/20/2018,Euthanasia,Rabies Risk,Unknown,2 years,0 days 20:31:00,0,Not Adopted,TX,Austin 
816506,Jr,2020-04-20 10:15:00,1156 West Cesar Chavez Stree,Stray,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier,Brown/White,2020-06-22 19:12:00,4/20/2018,Adoption,,Neutered Male,2 years,63 days 08:57:00,63,D,TX,Austin 
816502,,2020-04-19 17:50:00,6617 Argent,Wildlife,Injured,Other,Unknown,2 years,Squirrel,Brown,2020-04-19 18:03:00,4/19/2018,Euthanasia,Suffering,Unknown,2 years,0 days 00:13:00,0,Not Adopted,TX,Austin 
816495,,2020-04-19 15:09:00,8530 Maine Drive,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,2020-04-19 15:53:00,4/19/2018,Euthanasia,Suffering,Intact Male,2 years,0 days 00:44:00,0,Not Adopted,TX,Austin 
816494,Layla,2020-04-19 14:27:00,11901 Pavilion Boulevard,Public Assist,Normal,Dog,Intact Female,12 years,Australian Shepherd/Border Collie,Black/White,2020-04-24 09:55:00,4/19/2008,Return to Owner,,Intact Female,12 years,4 days 19:28:00,4,Not Adopted,TX,Austin 
816481,*Pepper,2020-04-19 08:22:00,,Public Assist,Injured,Cat,Spayed Female,3 years,Domestic Shorthair,Blue Tabby,2021-01-27 11:53:00,4/19/2017,Adoption,Foster,Spayed Female,3 years,283 days 03:31:00,28,C,TX,Austin 
816480,,2020-04-19 08:08:00,1400 East Rundberg Lane,Stray,Injured,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White,2020-04-22 11:18:00,3/19/2020,Transfer,Partner,Intact Male,4 weeks,3 days 03:10:00,3,Not Adopted,TX,Austin 
816473,Scooby,2020-04-19 15:24:00,4600 E Ben White Blvd,Public Assist,Normal,Dog,Intact Female,2 years,German Shepherd/Labrador Retriever,Tan,2020-05-01 16:48:00,5/19/2017,Return to Owner,,Spayed Female,2 years,12 days 01:24:00,12,Not Adopted,TX,Austin 
816472,Piglet,2020-04-19 15:24:00,4600 E Ben White Blvd,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull/Labrador Retriever,White/Brown,2020-05-01 16:47:00,4/18/2018,Return to Owner,,Spayed Female,2 years,12 days 01:23:00,12,Not Adopted,TX,Austin 
816471,Pooh Bear,2020-04-19 15:24:00,4600 E Ben White Blvd,Public Assist,Normal,Dog,Intact Female,2 years,German Shepherd/Labrador Retriever,Tan,2020-05-01 16:49:00,5/19/2017,Return to Owner,,Spayed Female,2 years,12 days 01:25:00,12,Not Adopted,TX,Austin 
816470,*Black Mamba,2020-04-18 15:23:00,1605 Spinel Rd,Stray,Injured,Cat,Neutered Male,2 years,Domestic Medium Hair,Black,2020-05-22 08:52:00,4/18/2018,Adoption,Foster,Neutered Male,2 years,33 days 17:29:00,33,D,TX,Travis 
816469,Voodoo,2020-04-19 15:24:00,4600 E Ben White Blvd,Public Assist,Normal,Dog,Intact Female,11 months,Labrador Retriever/German Shepherd,Black/White,2020-05-01 16:49:00,5/19/2019,Return to Owner,,Spayed Female,11 months,12 days 01:25:00,12,Not Adopted,TX,Austin 
816462,,2020-04-18 14:13:00,1720 Timber Ridge Road,Stray,Sick,Cat,Intact Female,7 years,Domestic Shorthair,Brown/Orange,2020-04-21 14:02:00,4/18/2013,Transfer,Partner,Intact Female,7 years,2 days 23:49:00,2,Not Adopted,TX,Austin 
816461,*Pecan,2020-04-18 13:38:00,208 Dry Creek Rd,Owner Surrender,Normal,Dog,Intact Female,2 months,German Shepherd,Brown,2020-10-30 08:53:00,2/3/2020,Adoption,Foster,Spayed Female,8 months,194 days 19:15:00,19,C,TX,Austin 
816460,,2020-04-18 13:38:00,208 Dry Creek Rd,Owner Surrender,Normal,Dog,Intact Female,2 months,German Shepherd,Brown,2020-04-26 14:10:00,2/3/2020,Adoption,Foster,Spayed Female,2 months,8 days 00:32:00,8,B,TX,Austin 
816458,Baby Dog,2020-04-18 13:38:00,208 Dry Creek Rd in Mano,Owner Surrender,Normal,Dog,Intact Male,7 months,Border Collie Mix,Black/White,2020-05-09 12:49:00,8/19/2019,Adoption,Foster,Neutered Male,8 months,20 days 23:11:00,20,C,TX, Manor 
816456,Chocolate,2020-04-20 15:01:00,,Public Assist,Normal,Dog,Intact Male,4 years,Toy Poodle,White,2020-04-28 15:18:00,4/18/2016,Return to Owner,,Intact Male,4 years,8 days 00:17:00,8,Not Adopted,TX,Austin 
816455,,2020-04-18 12:30:00,1200 Estancia Parkway,Stray,Sick,Dog,Intact Male,15 years,Chihuahua Shorthair,Cream,2020-04-19 12:00:00,4/18/2005,Transfer,Partner,Intact Male,15 years,0 days 23:30:00,0,Not Adopted,TX,Travis 
816449,,2020-04-18 10:15:00,,Wildlife,Sick,Other,Unknown,1 year,Raccoon,Black/Gray,2020-04-18 11:35:00,4/18/2019,Euthanasia,Rabies Risk,Unknown,1 year,0 days 01:20:00,0,Not Adopted,TX,Austin 
816447,,2020-04-18 09:49:00,,Wildlife,Sick,Other,Unknown,1 year,Raccoon,Black/Gray,2020-04-18 11:35:00,4/18/2019,Euthanasia,Rabies Risk,Unknown,1 year,0 days 01:46:00,0,Not Adopted,TX,Austin 
816444,Pepper,2020-04-18 07:27:00,5306 Walnut Grove Drive,Stray,Injured,Dog,Intact Female,3 years,Chihuahua Shorthair,Black/Brown,2020-04-29 11:16:00,4/19/2017,Transfer,Partner,Intact Female,3 years,11 days 03:49:00,11,Not Adopted,TX,Austin 
816443,,2020-04-18 11:50:00,401 Chaparral Road,Stray,Sick,Cat,Neutered Male,7 years,Domestic Shorthair,Blue,2020-04-24 16:56:00,10/22/2012,Return to Owner,,Neutered Male,7 years,6 days 05:06:00,6,Not Adopted,TX,Austin 
816441,Sachmo,2020-04-17 17:20:00,9509 Night St,Stray,Normal,Dog,Intact Male,11 years,Pit Bull,Brown/White,2020-07-21 11:59:00,4/21/2008,Euthanasia,Suffering,Intact Male,12 years,94 days 18:39:00,94,Not Adopted,TX,Travis 
816432,,2020-04-17 15:40:00,8900 North Interstate 35,Stray,Nursing,Cat,Intact Female,4 weeks,Domestic Shorthair,Gray Tabby,2020-04-17 08:56:00,3/17/2020,Transfer,Partner,Intact Female,4 weeks,-1 days +17:16:00,-1,Not Adopted,TX,Austin 
