Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A787330,,2019-01-11 12:21:00,01/11/2019 12:21:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue,,2019-01-13 16:21:00,01/13/2019 04:21:00 PM,01/11/2018,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue,2 days 04:00:00
A727224,,2016-05-20 09:28:00,05/20/2016 09:28:00 AM,1800 Bissel St in Austin (TX),Wildlife,Normal,Bird,Intact Female,5 years,Peafowl Mix,Brown/Green,,2016-06-12 09:39:00,06/12/2016 09:39:00 AM,05/20/2011,Adoption,Foster,Bird,Intact Female,5 years,Peafowl Mix,Brown/Green,23 days 00:11:00
A751513,Psyduck,2017-06-09 10:34:00,06/09/2017 10:34:00 AM,12120 Manchaca Rd in Austin (TX),Owner Surrender,Normal,Bird,Unknown,5 months,Chicken Mix,Red,Psyduck,2017-06-10 10:36:00,06/10/2017 10:36:00 AM,12/09/2016,Adoption,Offsite,Bird,Unknown,6 months,Chicken Mix,Red,1 days 00:02:00
A679125,,2014-05-16 17:38:00,05/16/2014 05:38:00 PM,1907 Margalene Way in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Lovebird Mix,White,,2014-05-28 16:22:00,05/28/2014 04:22:00 PM,05/16/2013,Adoption,,Bird,Unknown,1 year,Lovebird Mix,White,11 days 22:44:00
A722594,,2016-03-19 11:39:00,03/19/2016 11:39:00 AM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,0 years,Duck Mix,Yellow,,2016-03-24 12:37:00,03/24/2016 12:37:00 PM,03/19/2016,Adoption,Foster,Bird,Unknown,5 days,Duck Mix,Yellow,5 days 00:58:00
A746727,,2017-04-08 11:43:00,04/08/2017 11:43:00 AM,8808 Dawnridge Circle in Austin (TX),Wildlife,Normal,Bird,Unknown,1 year,Parakeet,Blue/Black,,2017-04-12 14:20:00,04/12/2017 02:20:00 PM,04/08/2016,Adoption,,Bird,Unknown,1 year,Parakeet,Blue/Black,4 days 02:37:00
A779684,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Unknown,1 year,Chicken,Brown/Black,,2018-09-22 19:20:00,09/22/2018 07:20:00 PM,09/04/2017,Adoption,,Bird,Unknown,1 year,Chicken,Brown/Black,18 days 06:18:00
A720723,Rooster 7,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,Rooster 7,2016-03-08 17:43:00,03/08/2016 05:43:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Red,23 days 01:41:00
A810655,Raphael,2019-12-17 14:54:00,12/17/2019 02:54:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet,Blue/Gray,Raphael,2019-12-17 17:52:00,12/17/2019 05:52:00 PM,12/17/2018,Adoption,,Bird,Unknown,1 year,Parakeet,Blue/Gray,0 days 02:58:00
A713564,*Rocky,2015-10-08 16:59:00,10/08/2015 04:59:00 PM,Bolm And Gardner in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Tricolor,*Rocky,2015-10-12 12:14:00,10/12/2015 12:14:00 PM,10/08/2014,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Tricolor,3 days 19:15:00
A698147,,2015-03-06 15:02:00,03/06/2015 03:02:00 PM,7201 Levander Loop in Austin (TX),Stray,Injured,Bird,Intact Male,1 year,Parakeet Mix,Yellow,,2015-03-27 07:39:00,03/27/2015 07:39:00 AM,03/06/2014,Adoption,Foster,Bird,Intact Male,1 year,Parakeet Mix,Yellow,20 days 16:37:00
A754759,,2017-07-24 12:39:00,07/24/2017 12:39:00 PM,6805 Shoal Creek Blvd in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue,,2017-07-28 11:24:00,07/28/2017 11:24:00 AM,07/24/2016,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue,3 days 22:45:00
A815989,*Waffles,2020-04-02 11:09:00,04/02/2020 11:09:00 AM,801 Sugaree Ave in Austin (TX),Stray,Other,Bird,Unknown,2 months,Parakeet,Blue/Gray,*Waffles,2020-05-21 10:48:00,05/21/2020 10:48:00 AM,01/02/2020,Adoption,Foster,Bird,Unknown,4 months,Parakeet,Blue/Gray,48 days 23:39:00
A720725,Rooster 9,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,Rooster 9,2016-03-08 18:56:00,03/08/2016 06:56:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Black,23 days 02:54:00
A779667,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Brown,,2018-09-22 19:36:00,09/22/2018 07:36:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Brown,18 days 06:34:00
A741066,,2016-12-27 16:11:00,12/27/2016 04:11:00 PM,2601 Scofield Ridge in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Cockatiel Mix,Gray/Yellow,,2016-12-31 13:04:00,12/31/2016 01:04:00 PM,12/27/2014,Adoption,,Bird,Unknown,2 years,Cockatiel Mix,Gray/Yellow,3 days 20:53:00
A779681,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Brown/White,,2018-10-11 17:46:00,10/11/2018 05:46:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Brown/White,37 days 04:44:00
A787444,,2019-01-13 15:28:00,01/13/2019 03:28:00 PM,South Congress Avenue And West Mary Street in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Yellow/Gray,,2019-01-24 19:12:00,01/24/2019 07:12:00 PM,01/13/2018,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Yellow/Gray,11 days 03:44:00
A724658,Candy,2016-04-20 11:07:00,04/20/2016 11:07:00 AM,11675 Jollyville Rd in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Peafowl,White/Brown,Candy,2016-04-25 11:26:00,04/25/2016 11:26:00 AM,04/20/2015,Adoption,,Bird,Intact Female,1 year,Peafowl,White/Brown,5 days 00:19:00
A710951,,2015-08-30 15:06:00,08/30/2015 03:06:00 PM,3206 East 16Th in Austin (TX),Stray,Injured,Bird,Unknown,2 days,Chicken Mix,Brown,,2015-09-06 13:43:00,09/06/2015 01:43:00 PM,08/28/2015,Adoption,Foster,Bird,Unknown,1 weeks,Chicken Mix,Brown,6 days 22:37:00
A677677,,2014-04-27 17:21:00,04/27/2014 05:21:00 PM,3002 E 18 1/2 St in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Bantam Mix,White,,2014-04-29 11:29:00,04/29/2014 11:29:00 AM,04/25/2012,Adoption,,Bird,Intact Male,2 years,Bantam Mix,White,1 days 18:08:00
A788214,,2019-01-28 15:14:00,01/28/2019 03:14:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,2 years,Parakeet Mix,Yellow,,2019-01-30 10:46:00,01/30/2019 10:46:00 AM,01/28/2017,Adoption,,Bird,Unknown,2 years,Parakeet Mix,Yellow,1 days 19:32:00
A771818,,2018-05-10 12:06:00,05/10/2018 12:06:00 PM,12112 Lavinia Ln in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Chicken Mix,Yellow,,2018-05-24 11:36:00,05/24/2018 11:36:00 AM,04/10/2018,Adoption,Foster,Bird,Unknown,1 month,Chicken Mix,Yellow,13 days 23:30:00
A733592,,2016-08-24 10:14:00,08/24/2016 10:14:00 AM,290 & Arterial 8 in Austin (TX),Stray,Injured,Bird,Unknown,5 months,Chicken,Brown,,2016-08-30 13:57:00,08/30/2016 01:57:00 PM,02/24/2016,Adoption,,Bird,Unknown,6 months,Chicken,Brown,6 days 03:43:00
A779658,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-10-11 17:53:00,10/11/2018 05:53:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,37 days 04:51:00
A779675,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Black/Brown,,2018-09-22 19:35:00,09/22/2018 07:35:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Black/Brown,18 days 06:33:00
A767616,,2018-03-04 12:31:00,03/04/2018 12:31:00 PM,10511 Turner Drive in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Rhode Island Mix,Red,,2018-04-09 19:23:00,04/09/2018 07:23:00 PM,03/04/2017,Adoption,Foster,Bird,Intact Female,1 year,Rhode Island Mix,Red,36 days 06:52:00
A701179,,2015-04-24 22:05:00,04/24/2015 10:05:00 PM,2314 Wickersham Ln in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Conure,Green,,2015-04-28 12:46:00,04/28/2015 12:46:00 PM,04/24/2014,Adoption,,Bird,Unknown,1 year,Conure,Green,3 days 14:41:00
A779682,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Gray/Brown,,2018-09-22 19:34:00,09/22/2018 07:34:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Gray/Brown,18 days 06:32:00
A815400,Midori,2020-03-15 11:15:00,03/15/2020 11:15:00 AM,Lago Vista (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow,Midori,2020-03-27 06:57:00,03/27/2020 06:57:00 AM,03/15/2019,Adoption,Foster,Bird,Unknown,1 year,Parakeet,Green/Yellow,11 days 19:42:00
A802698,Sunshine,2019-08-21 14:08:00,08/21/2019 02:08:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,1 year,Budgerigar,Yellow,Sunshine,2019-08-21 19:00:00,08/21/2019 07:00:00 PM,08/21/2018,Adoption,,Bird,Intact Female,1 year,Budgerigar,Yellow,0 days 04:52:00
A672940,,2014-02-18 14:42:00,02/18/2014 02:42:00 PM,Circle Drive in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2014-03-03 12:16:00,03/03/2014 12:16:00 PM,02/18/2013,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,12 days 21:34:00
A747016,,2017-04-12 15:55:00,04/12/2017 03:55:00 PM,1605 Kramer Ln in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,White/Blue,,2017-04-19 12:05:00,04/19/2017 12:05:00 PM,04/12/2016,Adoption,,Bird,Unknown,1 year,Parakeet Mix,White/Blue,6 days 20:10:00
A720729,Rooster 13,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,Rooster 13,2016-03-08 11:57:00,03/08/2016 11:57:00 AM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red/Black,22 days 19:55:00
A722609,,2016-03-19 13:07:00,03/19/2016 01:07:00 PM,Old Lockhart Rd in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red,,2016-04-15 11:48:00,04/15/2016 11:48:00 AM,03/19/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Red,26 days 22:41:00
A779663,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/White,,2018-10-11 17:53:00,10/11/2018 05:53:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/White,37 days 04:51:00
A779657,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Black/Tan,,2018-09-22 19:36:00,09/22/2018 07:36:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Black/Tan,18 days 06:34:00
A749156,,2017-05-11 16:23:00,05/11/2017 04:23:00 PM,5401 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Bird,Unknown,7 months,Duck,Yellow,,2017-05-15 09:32:00,05/15/2017 09:32:00 AM,09/11/2016,Adoption,Foster,Bird,Unknown,8 months,Duck,Yellow,3 days 17:09:00
A720735,Rooster 19,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,Rooster 19,2016-03-08 18:14:00,03/08/2016 06:14:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,23 days 02:12:00
A802697,Ocean,2019-08-21 14:08:00,08/21/2019 02:08:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Female,1 year,Budgerigar,Blue,Ocean,2019-08-21 19:00:00,08/21/2019 07:00:00 PM,08/21/2018,Adoption,,Bird,Intact Female,1 year,Budgerigar,Blue,0 days 04:52:00
A679700,,2014-05-25 09:41:00,05/25/2014 09:41:00 AM,4434 Frontier in Austin (TX),Stray,Injured,Bird,Unknown,3 months,Parrot Mix,Green/White,,2014-05-30 18:24:00,05/30/2014 06:24:00 PM,01/25/2014,Adoption,,Bird,Unknown,4 months,Parrot Mix,Green/White,5 days 08:43:00
A672941,,2014-02-18 14:42:00,02/18/2014 02:42:00 PM,Circle Drive in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2014-03-03 12:17:00,03/03/2014 12:17:00 PM,02/18/2013,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,12 days 21:35:00
A804626,,2019-09-16 15:05:00,09/16/2019 03:05:00 PM,Austin (TX),Stray,Normal,Bird,Unknown,1 year,Pigeon,White/Brown,,2019-09-22 11:54:00,09/22/2019 11:54:00 AM,09/16/2018,Adoption,,Bird,Unknown,1 year,Pigeon,White/Brown,5 days 20:49:00
A758950,*Ozzy,2017-09-24 13:10:00,09/24/2017 01:10:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,18 years,Cockatiel Mix,White/Tricolor,*Ozzy,2018-05-19 11:52:00,05/19/2018 11:52:00 AM,09/24/1999,Adoption,Foster,Bird,Intact Male,18 years,Cockatiel Mix,White/Tricolor,236 days 22:42:00
A765436,Flip,2018-01-20 12:28:00,01/20/2018 12:28:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,6 months,Chicken Mix,Tan/Red,Flip,2018-01-24 14:32:00,01/24/2018 02:32:00 PM,07/20/2017,Adoption,,Bird,Intact Male,6 months,Chicken Mix,Tan/Red,4 days 02:04:00
A779678,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St Side B in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Brown/Black,,2018-09-20 18:30:00,09/20/2018 06:30:00 PM,09/04/2017,Adoption,,Bird,Intact Female,1 year,Chicken,Brown/Black,16 days 05:28:00
A725364,,2016-04-28 13:39:00,04/28/2016 01:39:00 PM,9200 North Plaza in Austin (TX),Stray,Normal,Bird,Unknown,6 months,Chicken Mix,Tricolor,,2016-05-02 17:06:00,05/02/2016 05:06:00 PM,10/28/2015,Adoption,,Bird,Unknown,6 months,Chicken Mix,Tricolor,4 days 03:27:00
A771819,,2018-05-10 12:06:00,05/10/2018 12:06:00 PM,12112 Lavinia Ln in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Chicken Mix,Yellow,,2018-05-24 11:37:00,05/24/2018 11:37:00 AM,04/10/2018,Adoption,Foster,Bird,Unknown,1 month,Chicken Mix,Yellow,13 days 23:31:00
A747027,,2017-04-12 16:31:00,04/12/2017 04:31:00 PM,8304 Franwood in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Quaker Mix,Blue,,2017-05-20 12:54:00,05/20/2017 12:54:00 PM,04/12/2016,Adoption,Foster,Bird,Unknown,1 year,Quaker Mix,Blue,37 days 20:23:00
A722603,,2016-03-19 13:07:00,03/19/2016 01:07:00 PM,Old Lockhart Rd in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,White/Tan,,2016-04-16 00:00:00,04/16/2016 12:00:00 AM,03/19/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,White/Tan,27 days 10:53:00
A720730,Rooster 14,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Yellow/Black,Rooster 14,2016-03-08 14:34:00,03/08/2016 02:34:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Yellow/Black,22 days 22:32:00
A815401,Peaches,2020-03-15 11:15:00,03/15/2020 11:15:00 AM,Lago Vista (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet,White,Peaches,2020-03-27 06:59:00,03/27/2020 06:59:00 AM,03/15/2019,Adoption,Foster,Bird,Unknown,1 year,Parakeet,White,11 days 19:44:00
A773691,,2018-06-04 13:06:00,06/04/2018 01:06:00 PM,3065 Ferguson Dr in Austin (TX),Wildlife,Normal,Bird,Intact Female,3 years,Parakeet Mix,White/Blue,,2018-06-08 11:02:00,06/08/2018 11:02:00 AM,06/04/2015,Adoption,,Bird,Intact Female,3 years,Parakeet Mix,White/Blue,3 days 21:56:00
A734521,,2016-09-08 14:50:00,09/08/2016 02:50:00 PM,7014 Asbury in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Cockatoo Mix,White,,2016-09-14 12:40:00,09/14/2016 12:40:00 PM,09/08/2015,Adoption,Foster,Bird,Unknown,1 year,Cockatoo Mix,White,5 days 21:50:00
A816196,,2020-04-09 12:33:00,04/09/2020 12:33:00 PM,8300 Bluff Springs Road in Travis (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow,,2020-04-16 11:37:00,04/16/2020 11:37:00 AM,04/09/2019,Adoption,Foster,Bird,Unknown,1 year,Parakeet,Green/Yellow,6 days 23:04:00
A779665,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-09-30 16:39:00,09/30/2018 04:39:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,26 days 03:37:00
A825549,,2020-11-05 21:50:00,11/05/2020 09:50:00 PM,4800 Hale in Austin (TX),Public Assist,Normal,Bird,Unknown,1 year,Cockatiel,White/Yellow,,2020-11-14 13:24:00,11/14/2020 01:24:00 PM,11/05/2019,Adoption,,Bird,Unknown,1 year,Cockatiel,White/Yellow,8 days 15:34:00
A695476,,2015-01-16 13:23:00,01/16/2015 01:23:00 PM,3205 Dolphin Dr in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Turkey Mix,Brown/White,,2015-01-26 10:53:00,01/26/2015 10:53:00 AM,01/16/2013,Adoption,,Bird,Intact Male,2 years,Turkey Mix,Brown/White,9 days 21:30:00
A722312,,2016-03-14 15:08:00,03/14/2016 03:08:00 PM,W Rundberg Ln And Meadow Vale in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,White,,2016-03-19 14:33:00,03/19/2016 02:33:00 PM,03/14/2015,Adoption,,Bird,Unknown,1 year,Parakeet Mix,White,4 days 23:25:00
A779683,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Yellow/Red,,2018-09-30 16:40:00,09/30/2018 04:40:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Yellow/Red,26 days 03:38:00
A761209,,2017-10-31 15:49:00,10/31/2017 03:49:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,7 months,Chicken Mix,Brown,,2017-11-04 18:37:00,11/04/2017 06:37:00 PM,03/31/2017,Adoption,,Bird,Intact Male,7 months,Chicken Mix,Brown,4 days 02:48:00
