Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating,Found State,Found City
829475,*Jenni,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Black/Gray,2021-02-12 14:29:00,2/11/2020,Transfer,Partner,Intact Female,1 year,1 days 02:27:00,1,Not Adopted,TX,Austin 
829474,*Jada,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black/Brown,2021-02-12 14:29:00,2/11/2018,Transfer,Partner,Intact Female,3 years,1 days 02:27:00,1,Not Adopted,TX,Austin 
829473,*Jasper,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Gray/Black,2021-02-12 14:29:00,2/11/2019,Transfer,Partner,Intact Male,2 years,1 days 02:27:00,1,Not Adopted,TX,Austin 
829470,,2021-02-11 12:11:00,14946 Swiss Drive,Owner Surrender,Other,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829469,*Prince,2021-02-11 12:10:00,14946 Swiss Drive,Owner Surrender,Other,Dog,Intact Male,5 months,Labrador Retriever Mix,Black/Black,2021-02-13 13:44:00,9/11/2020,Adoption,,Neutered Male,5 months,2 days 01:34:00,2,A,TX,Travis 
829468,,2021-02-11 12:09:00,14946 Swiss Drive,Owner Surrender,Other,Dog,Intact Female,5 months,Labrador Retriever Mix,Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829467,,2021-02-11 12:08:00,14946 Swiss Drive,Owner Surrender,Other,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829466,,2021-02-11 10:35:00,9506 Dallum Drive,Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Blue Tabby/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829458,,2021-02-11 08:22:00,Walkup Lane And Deja Avenue,Stray,Injured,Dog,Intact Male,2 years,Queensland Heeler,Tricolor,2021-02-11 15:00:00,2/11/2019,Transfer,Partner,Intact Male,2 years,0 days 06:38:00,0,Not Adopted,TX,Austin 
829456,,2021-02-11 07:44:00,19520 Samuel Welch Way in Mano,Stray,Injured,Dog,Intact Female,2 years,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted,TX, Manor 
829448,,2021-02-10 18:03:00,4709 Sara Drive,Stray,Injured,Cat,Intact Male,8 months,Domestic Medium Hair,Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829446,,2021-02-10 16:50:00,East Braker Lane Road And Dessau Road,Stray,Normal,Dog,Intact Female,2 months,American Pit Bull Terrier,Black Brindle/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829445,,2021-02-10 16:50:00,East Braker Lane And Dessau Road,Stray,Normal,Dog,Intact Female,10 months,American Pit Bull Terrier,Brown/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829444,,2021-02-10 16:00:00,2907 Pecan Springs Road,Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829442,,2021-02-10 15:30:00,Sebastian Bend,Stray,Normal,Dog,Intact Male,2 years,Pit Bull,White/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829440,,2021-02-10 15:49:00,3707 Pevetoe Street,Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829437,,2021-02-10 13:44:00,16021 Biltmore Avenue,Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair,Gray Tabby/Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829436,,2021-02-10 13:44:00,16021 Biltmore Avenue,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Gray Tabby/White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829433,,2021-02-10 12:56:00,Loyola Lane And Ed Bluestein Boulevard,Stray,Injured,Dog,Intact Female,3 years,American Pit Bull Terrier Mix,Gray/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829431,,2021-02-10 15:49:00,905 Rocking Spur Cove,Stray,Normal,Other,Intact Male,1 year,Rabbit Sh,Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829428,,2021-02-10 12:23:00,9300 South Ih 35 Frontage Road,Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829425,Rocky,2021-02-10 10:41:00,Mano,Owner Surrender,Normal,Dog,Neutered Male,14 years,Labrador Retriever/Border Collie,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Manor 
829417,,2021-02-10 15:49:00,3101 Shoreline Drive,Owner Surrender,Injured,Dog,Intact Female,5 years,Labrador Retriever,Black/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829408,,2021-02-09 21:32:00,21200 Windmill Ranch Avenue,Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-10 08:52:00,2/9/2020,Euthanasia,Rabies Risk,Unknown,1 year,0 days 11:20:00,0,Not Adopted,TX,Austin 
829405,,2021-02-09 17:35:00,,Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair,Blue/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829403,,2021-02-09 13:35:00,Fm 973,Stray,Injured,Cat,Intact Female,5 months,Domestic Shorthair,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829400,Hiro,2021-02-09 15:37:00,5904 Tracy Lynn Lane,Owner Surrender,Normal,Dog,Intact Male,5 months,Shiba Inu Mix,Red/Black,2021-02-11 16:08:00,9/2/2020,Adoption,,Neutered Male,5 months,2 days 00:31:00,2,A,TX,Austin 
829399,Akhkshi,2021-02-09 14:50:00,1401 Cedar Avenue,Stray,Normal,Dog,Intact Female,11 months,Pit Bull,White/Tan,2021-02-10 14:06:00,3/10/2020,Return to Owner,,Intact Female,11 months,0 days 23:16:00,0,Not Adopted,TX,Austin 
829391,,2021-02-09 13:57:00,2200 South Pleasant Valley,Stray,Normal,Dog,Intact Male,3 years,Dachshund/Chihuahua Shorthair,Black/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829390,Kheko,2021-02-09 13:44:00,East 13Th Street And Chicon Stree,Stray,Normal,Dog,Intact Male,2 years,Shih Tzu,Tan/White,2021-02-09 16:40:00,2/9/2019,Return to Owner,,Intact Male,2 years,0 days 02:56:00,0,Not Adopted,TX,Austin 
829387,Simba,2021-02-11 14:36:00,,Owner Surrender,Normal,Dog,Intact Male,2 years,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829386,*Rex,2021-02-09 12:53:00,6701 Santos Stree,Stray,Injured,Cat,Intact Male,2 years,Domestic Medium Hair,White/Gray Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829385,,2021-02-09 12:26:00,18706 Blake Mano,Stray,Normal,Dog,Intact Male,4 months,Australian Cattle Dog/Catahoula,Black/Blue Tick,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829384,,2021-02-09 12:26:00,18706 Blake Mano,Stray,Normal,Dog,Intact Male,4 months,Australian Cattle Dog/Catahoula,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829383,,2021-02-09 12:26:00,18706 Blake Mano,Stray,Normal,Dog,Intact Female,4 months,Australian Cattle Dog/Catahoula,White/Red Tick,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829382,Camila,2021-02-09 11:51:00,Harris Ridge Boulevard And Tayside Drive in Pflugerville,Stray,Normal,Dog,Intact Female,2 years,German Shepherd,Black/Tan,,,,,,,NaT,New intake,Not Adopted,TX,rville 
829381,Muneca,2021-02-09 11:51:00,Harris Ridge Boulevard And Tayside Drive in Pflugerville,Stray,Normal,Dog,Intact Female,10 months,German Shepherd,Tan/Black,2021-02-09 17:40:00,4/9/2020,Return to Owner,,Intact Female,10 months,0 days 05:49:00,0,Not Adopted,TX,rville 
829378,,2021-02-09 11:26:00,3829 Arrow Drive,Wildlife,Sick,Other,Unknown,2 years,Raccoon,Black/White,2021-02-09 12:29:00,2/9/2019,Euthanasia,Suffering,Unknown,2 years,0 days 01:03:00,0,Not Adopted,TX,Austin 
829369,Shrimp,2021-02-09 08:18:00,,Abandoned,Sick,Cat,Intact Male,2 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829368,Leo,2021-02-09 08:08:00,11119 Alterra Parkway,Owner Surrender,Sick,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829366,Chucho,2021-02-09 07:58:00,370 Tiffany Trail,Owner Surrender,Injured,Dog,Neutered Male,3 months,Parson Russell Terrier,White/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829365,Rocky,2021-02-09 09:34:00,4434 Frontier Trail,Owner Surrender,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829359,,2021-02-08 20:22:00,700 Lavac,Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-09 07:39:00,2/8/2020,Euthanasia,Rabies Risk,Unknown,1 year,0 days 11:17:00,0,Not Adopted,TX,Austin 
829357,,2021-02-08 18:05:00,7201 Levander Loop,Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever,Brown,2021-02-12 00:00:00,11/26/2020,Adoption,,Spayed Female,2 months,3 days 05:55:00,3,A,TX,Austin 
829346,,2021-02-08 15:43:00,916 Springdale,Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-09 07:37:00,2/8/2020,Euthanasia,Rabies Risk,Unknown,1 year,0 days 15:54:00,0,Not Adopted,TX,Austin 
829344,Otis,2021-02-08 15:09:00,,Owner Surrender,Normal,Dog,Neutered Male,6 years,Black Mouth Cur/Pit Bull,Brown,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829341,*Conrad,2021-02-08 14:44:00,8801 South Ih 35,Stray,Normal,Dog,Intact Male,7 years,Rhod Ridgeback Mix,Brown/Tan,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829340,,2021-02-08 14:44:00,8801 South Ih 35,Stray,Normal,Dog,Intact Female,1 year,Flat Coat Retriever Mix,Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829337,James,2021-02-09 13:56:00,,Owner Surrender,Normal,Dog,Intact Male,2 years,German Shepherd,Sable,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829336,Yoda,2021-02-08 14:27:00,,Owner Surrender,Normal,Cat,Intact Male,10 months,Domestic Shorthair,Black,2021-02-12 17:35:00,4/8/2020,,,Neutered Male,10 months,4 days 03:08:00,4,Not Adopted,TX,Austin 
829334,Marci,2021-02-10 12:43:00,,Owner Surrender,Normal,Dog,Intact Female,2 months,Alaskan Husky,Brown/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829331,*Hank,2021-02-08 13:11:00,2101 East Stassney Lane,Stray,Normal,Dog,Intact Male,10 months,Chihuahua Shorthair,Black/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829329,*Hazel,2021-02-08 13:11:00,2101 East Stassney Lane,Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Black/Brown,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829320,Osito,2021-02-08 12:44:00,40Th Street And Red River Stree,Stray,Normal,Dog,Intact Male,6 months,Golden Retriever,Gold/White,2021-02-09 18:07:00,8/8/2020,Return to Owner,,Intact Male,6 months,1 days 05:23:00,1,Not Adopted,TX,Austin 
829319,Midnight,2021-02-08 11:41:00,7203 Schebler Street,Stray,Normal,Cat,Intact Male,5 years,Domestic Longhair,Black/White,2021-02-13 00:00:00,2/8/2016,Adoption,,Neutered Male,5 years,4 days 12:19:00,4,A,TX,Travis 
829314,,2021-02-08 11:09:00,7316 Gaines Mill,Stray,Normal,Cat,Intact Female,3 months,Domestic Longhair,Black,2021-02-12 18:08:00,10/24/2020,Adoption,,Spayed Female,3 months,4 days 06:59:00,4,A,TX,Austin 
829313,*Shirley,2021-02-08 10:29:00,124 West Anderson Lane,Abandoned,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair,Black/Tan,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829312,*Laverne,2021-02-08 10:29:00,124 West Anderson Lane,Abandoned,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair,Black/Tan,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829311,Big Red,2021-02-08 10:24:00,4434 Frontier Trail,Owner Surrender,Sick,Cat,Neutered Male,5 years,Domestic Longhair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829309,,2021-02-08 10:10:00,8104 Decker Lane,Stray,Normal,Dog,Intact Male,1 year,American Pit Bull Terrier Mix,Black/White,2021-02-08 16:08:00,2/8/2020,Return to Owner,,Intact Male,1 year,0 days 05:58:00,0,Not Adopted,TX,Travis 
829306,,2021-02-08 07:41:00,East Slaughter And Alderm,Stray,Normal,Dog,Intact Male,5 years,Australian Cattle Dog,Tricolor,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829298,*Piper,2021-02-07 17:45:00,7201 Levander Loop,Abandoned,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829294,*Reese,2021-02-07 15:54:00,600 River Stree,Stray,Injured,Dog,Intact Female,8 months,Pit Bull/Labrador Retriever,Black Brindle/Brown Brindle,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829293,*Tootsie,2021-02-07 16:45:00,600 River Stree,Stray,Injured,Dog,Intact Female,8 months,Pit Bull/Labrador Retriever,Brown Brindle/Black Brindle,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829290,,2021-02-07 16:21:00,9156 Village Square,Stray,Injured,Dog,Intact Male,4 years,Labrador Retriever,Brown/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829289,*Buddy,2021-02-07 14:44:00,5505 Rose Hill Circle,Stray,Sick,Cat,Neutered Male,9 years,Domestic Shorthair,White/Brown Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829266,,2021-02-06 13:36:00,16900 Cherry Lane,Stray,Normal,Dog,Spayed Female,2 years,American Pit Bull Terrier,Brown Brindle,2021-02-10 12:22:00,2/6/2019,Adoption,,Spayed Female,2 years,3 days 22:46:00,3,A,TX,Travis 
829260,*Nugget,2021-02-06 13:05:00,3324 West Slaughter Lane,Stray,Sick,Cat,Neutered Male,5 years,Domestic Shorthair,Black,2021-02-13 12:10:00,2/7/2016,Adoption,,Neutered Male,5 years,6 days 23:05:00,6,B,TX,Austin 
829256,Radar,2021-02-06 09:22:00,1308 Citation Circle,Stray,Normal,Dog,Intact Male,2 years,Bull Terrier,Brown Brindle/White,2021-02-10 18:44:00,2/6/2019,Adoption,,Neutered Male,2 years,4 days 09:22:00,4,A,TX,Travis 
829248,,2021-02-09 17:29:00,,Stray,Normal,Cat,Unknown,5 months,Domestic Shorthair,Blue/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829247,,2021-02-05 15:10:00,10637 Carovilli Drive,Stray,Injured,Cat,Intact Male,4 months,Domestic Shorthair,Blue/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829236,Bruce,2021-02-05 08:45:00,1603 East Oltorf Stree,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull,Brown/White,2021-02-05 10:41:00,2/5/2019,Return to Owner,Field,Intact Male,2 years,0 days 01:56:00,0,Not Adopted,TX,Austin 
829234,Frankie,2021-02-05 08:16:00,9100 Waterford Centre Boulevard,Public Assist,Normal,Dog,Intact Male,2 years,American Foxhound/Pit Bull,Brown Brindle/White,2021-02-09 16:08:00,2/5/2019,Return to Owner,,Intact Male,2 years,4 days 07:52:00,4,Not Adopted,TX,Austin 
829232,Auna,2021-02-05 08:16:00,9100 Waterford Centre Boulevard,Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull,White/Brown Brindle,2021-02-09 16:09:00,2/5/2019,Return to Owner,,Intact Female,2 years,4 days 07:53:00,4,Not Adopted,TX,Austin 
829231,*Bruno,2021-02-05 08:16:00,6710 Loyola Lane,Stray,Normal,Dog,Intact Male,1 year,Rottweiler Mix,Black/Tan,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829221,,2021-02-04 23:34:00,16701 Pearce Lane,Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,2021-02-07 09:10:00,2/4/2019,Euthanasia,Rabies Risk,Unknown,2 years,2 days 09:36:00,2,Not Adopted,TX,Austin 
829220,Pepper,2021-02-04 20:23:00,8600 North Fm 620 Unit 2623,Public Assist,Normal,Cat,Spayed Female,11 years,Domestic Longhair,Black/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829219,Biggie,2021-02-04 20:23:00,8600 North Fm 620 Unit 2623,Public Assist,Normal,Cat,Neutered Male,15 years,Domestic Shorthair,Orange/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829215,,2021-02-05 10:50:00,Killingsworth,Stray,Injured,Dog,Intact Male,3 months,Pit Bull,Brown/White,2021-02-09 00:00:00,11/5/2020,Adoption,,Neutered Male,3 months,3 days 13:10:00,3,A,TX,Travis 
829213,Roxy,2021-02-04 15:47:00,7000 Onion Creek Drive,Stray,Normal,Dog,Intact Female,2 years,Australian Shepherd/Siberian Husky,Black/Tan,2021-02-10 17:54:00,2/4/2019,Return to Owner,,Spayed Female,2 years,6 days 02:07:00,6,Not Adopted,TX,Austin 
829212,,2021-02-04 15:30:00,700 Lavaca Stree,Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,2021-02-05 08:03:00,2/4/2019,Euthanasia,Rabies Risk,Unknown,2 years,0 days 16:33:00,0,Not Adopted,TX,Austin 
829209,*Pilot Inspektor,2021-02-04 14:36:00,2101 Burton Drive,Stray,Normal,Dog,Intact Male,2 years,German Shepherd,Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829206,*Willow,2021-02-04 13:06:00,13316 Mizzen Street in Mano,Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Sable/White,2021-02-09 12:14:00,2/4/2019,Transfer,Partner,Intact Male,2 years,4 days 23:08:00,4,Not Adopted,TX, Manor 
829202,,2021-02-04 11:46:00,4407 Merle Drive,Stray,Normal,Cat,Intact Female,6 years,Domestic Shorthair,Blue,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829201,*Otis,2021-02-04 11:31:00,Crossing Place And Riverside Drive,Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829198,*Elena,2021-02-04 11:17:00,10300 Golden Meadow Drive,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Torbie,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
