Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating
829749,,2021-02-19 11:46:00,4407 Merle Drive in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Blue,,,,,,,NaT,New intake,Not Adopted
829748,,2021-02-19 11:46:00,4407 Merle Drive in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Black,,,,,,,NaT,New intake,Not Adopted
829747,,2021-02-22 13:12:00,9010 Galewood Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever,Brown,,,,,,,NaT,New intake,Not Adopted
829744,Rocky,2021-02-22 14:02:00,306 South Pace Bend Road in Travis (TX),Stray,Normal,Dog,Neutered Male,6 years,Border Collie/Finnish Spitz,Black/White,,,,,,,NaT,New intake,Not Adopted
829743,"Tator Tot Aka: ""Mr T""",2021-02-22 14:02:00,306 South Pace Bend Road in Travis (TX),Stray,Normal,Dog,Neutered Male,5 years,Maltese,White,,,,,,,NaT,New intake,Not Adopted
829738,,2021-02-22 12:22:00,6814 East Riverside Drive in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever/Great Pyrenees,Brown/White,,,,,,,NaT,New intake,Not Adopted
829736,Peanut,2021-02-22 11:30:00,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Red/White,2021-02-24 17:22:00,12/7/2020,Return to Owner,,Intact Male,2 months,2 days 05:52:00,2,Not Adopted
829727,Kira,2021-02-22 08:51:00,7001 Burleson Road in Travis (TX),Owner Surrender,Injured,Dog,Intact Female,2 years,Pit Bull,White/Brown,,,,,,,NaT,New intake,Not Adopted
829726,,2021-02-22 08:45:00,Fm 973 in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,Rottweiler,Black/Brown,,,,,,,NaT,New intake,Not Adopted
829725,,2021-02-22 08:34:00,4434 Frontier Trail in Austin (TX),Stray,Injured,Dog,Intact Female,10 months,Doberman Pinsch,Black/Brown,,,,,,,NaT,New intake,Not Adopted
829724,Massy,2021-02-22 08:29:00,4434 Frontier Trail in Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,6 years,Domestic Medium Hair,Brown Tabby/White,,,,,,,NaT,New intake,Not Adopted
829721,Kobe,2021-02-22 08:20:00,Austin (TX),Public Assist,Injured,Dog,Neutered Male,2 years,Cocker Spaniel/Dachshund Longhair,Brown,,,,,,,NaT,New intake,Not Adopted
829718,Squirt,2021-02-22 16:55:00,402 Treys Way in Austin (TX),Public Assist,Aged,Cat,Spayed Female,17 years,Domestic Shorthair,Black/White,,,,,,,NaT,New intake,Not Adopted
829713,,2021-02-21 18:25:00,10605 Old Lockhart Road in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Doberman Pinsch,Black/Tan,,,,,,,NaT,New intake,Not Adopted
829702,,2021-02-21 13:51:00,2509 Cecil Drive in Travis (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Black,2021-02-24 16:28:00,2/21/2019,Euthanasia,Rabies Risk,Unknown,2 years,3 days 02:37:00,3,Not Adopted
829701,,2021-02-21 14:56:00,16201 Biltmore Avenue in Travis (TX),Stray,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair,Brown,2021-02-21 17:28:00,9/21/2017,Adoption,,Intact Male,3 years,0 days 02:32:00,0,AA
829694,,2021-02-21 10:17:00,5180 West 290 Highway in Austin (TX),Stray,Sick,Cat,Spayed Female,6 years,Domestic Shorthair,Black,2021-02-21 12:49:00,2/21/2015,Transfer,Partner,Spayed Female,6 years,0 days 02:32:00,0,Not Adopted
829685,,2021-02-20 20:16:00,9300 Bluff Springs in Austin (TX),Public Assist,Normal,Dog,Intact Male,8 months,Labrador Retriever/Pit Bull,Brown,,,,,,,NaT,New intake,Not Adopted
829684,,2021-02-20 20:16:00,9300 Bluff Springs in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Border Collie/Alaskan Husky,Black/White,,,,,,,NaT,New intake,Not Adopted
829679,,2021-02-20 16:35:00,6307 Bluff Springs Road in Austin (TX),Abandoned,Normal,Dog,Intact Female,6 months,Alaskan Husky,White,,,,,,,NaT,New intake,Not Adopted
829676,,2021-02-20 17:10:00,14511 Sandifer Street in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky Mix,Tricolor,,,,,,,NaT,New intake,Not Adopted
829674,,2021-02-20 17:10:00,14511 Sandifer Street in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky Mix,Black/White,,,,,,,NaT,New intake,Not Adopted
829672,*Tallulah,2021-02-20 14:46:00,Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Doberman Pinsch,Black/Tan,,,,,,,NaT,New intake,Not Adopted
829669,Harley,2021-02-20 17:10:00,12501 Tech Ridge Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White,,,,,,,NaT,New intake,Not Adopted
829667,*Gonzo,2021-02-20 17:10:00,9807 Marlborough Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Anatol Shepherd Mix,Yellow,,,,,,,NaT,New intake,Not Adopted
829664,,2021-02-20 09:34:00,Del Valle in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Labrador Retriever,Brown/Black,,,,,,,NaT,New intake,Not Adopted
829663,Lincoln,2021-02-20 17:10:00,7202 Carver Avenue in Austin (TX),Public Assist,Normal,Cat,Neutered Male,3 years,Domestic Shorthair,Gray/White,,,,,,,NaT,New intake,Not Adopted
829662,,2021-02-20 08:17:00,406 Chaparral Road in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Rottweiler,Black/Tan,,,,,,,NaT,New intake,Not Adopted
829661,,2021-02-19 17:23:00,9604 Carson Creek in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829660,*Chaos,2021-02-19 16:43:00,14204 Jacobson Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Carolina Dog,Yellow Brindle/White,,,,,,,NaT,New intake,Not Adopted
829659,*Riot,2021-02-19 16:43:00,14204 Jacobson Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever,Black/White,,,,,,,NaT,New intake,Not Adopted
829643,Frosty,2021-02-19 13:03:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 years,Labrador Retriever,White,,,,,,,NaT,New intake,Not Adopted
829642,Rishi Bear,2021-02-19 11:47:00,85Th Trinity Street in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Chow Chow,Buff,2021-02-24 16:46:00,2/19/2019,Return to Owner,,Intact Male,2 years,5 days 04:59:00,5,Not Adopted
829630,Daisy,2021-02-18 16:57:00,900 Barton Springs in Austin (TX),Public Assist,Normal,Dog,Spayed Female,10 years,Rat Terrier Mix,White/Black,2021-02-23 17:36:00,2/18/2011,Return to Owner,,Spayed Female,10 years,5 days 00:39:00,5,Not Adopted
829629,Minnie,2021-02-18 16:57:00,900 Barton Springs in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund Wirehair,Brown Brindle,2021-02-23 17:37:00,2/18/2018,Return to Owner,,Spayed Female,3 years,5 days 00:40:00,5,Not Adopted
829618,*Lily,2021-02-17 17:27:00,2930 East 12Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted
829617,,2021-02-17 17:27:00,2930 East 12Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted
829616,*Jesse,2021-02-17 14:28:00,2751 East Sh 71 in Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Labrador Retriever/Golden Retriever,Gold,,,,,,,NaT,New intake,Not Adopted
829611,Chief,2021-02-17 10:33:00,Austin (TX),Owner Surrender,Injured,Cat,Neutered Male,9 years,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829602,*Cleopatra,2021-02-16 11:59:00,Prairie Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,White/Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829571,*Pete,2021-02-13 16:44:00,6220 Brookside Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted
829565,*Toodles,2021-02-13 14:49:00,18100 Ryegate Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,White,,,,,,,NaT,New intake,Not Adopted
829561,,2021-02-13 13:39:00,11402 James Haller Drive in Austin (TX),Stray,Sick,Cat,Intact Female,6 months,Domestic Shorthair,Calico,,,,,,,NaT,New intake,Not Adopted
829556,*Charlie,2021-02-13 13:04:00,Ross Road And Pearce Lane in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/Pit Bull,Black/White,,,,,,,NaT,New intake,Not Adopted
829553,,2021-02-13 15:35:00,7304 Lazy Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Blue Tabby,2021-02-21 14:56:00,2/13/2020,Transfer,Partner,Intact Female,1 year,7 days 23:21:00,7,Not Adopted
829552,Ivy,2021-02-13 11:43:00,9402 Carson Creek in Austin (TX),Stray,Nursing,Dog,Intact Female,1 year,German Shepherd,Tan/Black,,,,,,,NaT,New intake,Not Adopted
829547,*Winston,2021-02-13 09:28:00,6000 Middle Fiskville Road in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Catahoula,Gold,,,,,,,NaT,New intake,Not Adopted
829541,,2021-02-12 20:32:00,6407 Springdale in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown/White,,,,,,,NaT,New intake,Not Adopted
829540,*Jamie,2021-02-12 20:30:00,6703 Williamette in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Black/Brown Brindle,,,,,,,NaT,New intake,Not Adopted
829539,*Lilou,2021-02-12 18:39:00,508 Howard Lane in Travis (TX),Stray,Normal,Dog,Intact Female,9 years,Miniature Poodle,White,,,,,,,NaT,New intake,Not Adopted
829517,,2021-02-12 15:38:00,13609 North Ih 35 in Austin (TX),Public Assist,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby/White,,,,,,,NaT,New intake,Not Adopted
829516,,2021-02-12 12:59:00,Pedernales And Robert T Martinez in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829515,*Cady Herron,2021-02-12 12:59:00,Pedernales And Robert T Martinez in Austin (TX),Stray,Normal,Cat,Spayed Female,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829514,*Churro,2021-02-12 12:59:00,Pedernales And Robert T Martinez in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829513,*Regina George,2021-02-12 12:59:00,Pedernales And Robert T Martinez in Austin (TX),Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Torbie,,,,,,,NaT,New intake,Not Adopted
829508,Diamond,2021-02-12 12:25:00,West Rundberg And North Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Black,,,,,,,NaT,New intake,Not Adopted
829506,*Mac,2021-02-12 11:30:00,Travis (TX),Owner Surrender,Normal,Other,Unknown,6 months,Guinea Pig,Tricolor,,,,,,,NaT,New intake,Not Adopted
829505,*Dennis,2021-02-12 11:30:00,Travis (TX),Owner Surrender,Normal,Other,Intact Male,6 months,Guinea Pig,Tricolor,,,,,,,NaT,New intake,Not Adopted
829504,,2021-02-12 10:51:00,606 Coupland Street in Austin (TX),Stray,Normal,Cat,Intact Male,8 months,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829501,Moses,2021-02-12 10:35:00,7601 South Congress Avenue in Austin (TX),Stray,Injured,Dog,Intact Male,7 years,American Pit Bull Terrier Mix,Brown/White,,,,,,,NaT,New intake,Not Adopted
829498,,2021-02-12 09:41:00,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-14 10:02:00,2/12/2020,Euthanasia,Rabies Risk,Unknown,1 year,2 days 00:21:00,2,Not Adopted
829488,Luna,2021-02-11 20:48:00,2007 Oakleaf Circle in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chow Chow Mix,Tan/White,2021-02-23 11:36:00,2/11/2020,Transfer,Partner,Spayed Female,1 year,11 days 14:48:00,11,Not Adopted
829487,Stuart Little,2021-02-11 17:58:00,1156 West Cesar Chavez Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd,Tan/Black,,,,,,,NaT,New intake,Not Adopted
829485,,2021-02-11 15:52:00,10535 Becker Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Black,,,,,,,NaT,New intake,Not Adopted
829484,*Alfie,2021-02-11 16:42:00,5900 Sandshof in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Standard Schnauzer Mix,White/Black,,,,,,,NaT,New intake,Not Adopted
829483,*Beau,2021-02-11 16:06:00,3502 Native Dancer in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever/German Shepherd,Tan/White,,,,,,,NaT,New intake,Not Adopted
829478,*Jasmine,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Brown,2021-02-12 14:30:00,2/11/2019,Transfer,Partner,Intact Female,2 years,1 days 02:28:00,1,Not Adopted
829477,*Jackson,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Buff,2021-02-12 14:30:00,2/11/2019,Transfer,Partner,Intact Male,2 years,1 days 02:28:00,1,Not Adopted
829476,Marcia,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black,2021-02-12 14:30:00,2/11/2018,Transfer,Partner,Intact Female,3 years,1 days 02:28:00,1,Not Adopted
829475,*Jenni,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Black/Gray,2021-02-12 14:29:00,2/11/2020,Transfer,Partner,Intact Female,1 year,1 days 02:27:00,1,Not Adopted
829474,*Jada,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black/Brown,2021-02-12 14:29:00,2/11/2018,Transfer,Partner,Intact Female,3 years,1 days 02:27:00,1,Not Adopted
829473,*Jasper,2021-02-11 12:02:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Gray/Black,2021-02-12 14:29:00,2/11/2019,Transfer,Partner,Intact Male,2 years,1 days 02:27:00,1,Not Adopted
829470,*Ruby,2021-02-11 12:11:00,14946 Swiss Drive in Travis (TX),Owner Surrender,Other,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White,,,,,,,NaT,New intake,Not Adopted
829469,*Prince,2021-02-11 12:10:00,14946 Swiss Drive in Travis (TX),Owner Surrender,Other,Dog,Intact Male,5 months,Labrador Retriever Mix,Black/Black,2021-02-13 13:44:00,9/11/2020,Adoption,,Neutered Male,5 months,2 days 01:34:00,2,A
829468,*Amyl,2021-02-11 12:09:00,14946 Swiss Drive in Travis (TX),Owner Surrender,Other,Dog,Intact Female,5 months,Chesa Bay Retr/German Shepherd,Black,,,,,,,NaT,New intake,Not Adopted
829467,*Osita,2021-02-11 12:08:00,14946 Swiss Drive in Travis (TX),Owner Surrender,Other,Dog,Intact Female,5 months,Chesa Bay Retr Mix,Black/Black,,,,,,,NaT,New intake,Not Adopted
829466,,2021-02-11 10:35:00,9506 Dallum Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Blue Tabby/White,,,,,,,NaT,New intake,Not Adopted
829458,,2021-02-11 08:22:00,Walkup Lane And Deja Avenue in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Queensland Heeler,Tricolor,2021-02-11 15:00:00,2/11/2019,Transfer,Partner,Intact Male,2 years,0 days 06:38:00,0,Not Adopted
829456,*Dottie,2021-02-11 07:44:00,19520 Samuel Welch Way in Manor (TX),Stray,Injured,Dog,Intact Female,2 years,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted
829448,,2021-02-10 18:03:00,4709 Sara Drive in Austin (TX),Stray,Injured,Cat,Intact Male,8 months,Domestic Medium Hair,Black,,,,,,,NaT,New intake,Not Adopted
829446,,2021-02-10 16:50:00,East Braker Lane Road And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,American Pit Bull Terrier,Black Brindle/White,2021-02-22 16:38:00,11/25/2020,Adoption,,Spayed Female,2 months,11 days 23:48:00,11,B
829445,*Shenzi,2021-02-10 16:50:00,East Braker Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,American Pit Bull Terrier,Brown/White,,,,,,,NaT,New intake,Not Adopted
829444,,2021-02-10 16:00:00,2907 Pecan Springs Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Black/White,,,,,,,NaT,New intake,Not Adopted
829442,*Rascal,2021-02-10 15:30:00,Sebastian Bend in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,White/Brown,,,,,,,NaT,New intake,Not Adopted
829440,Toast,2021-02-10 15:49:00,3707 Pevetoe Street in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,White/Black,2021-02-22 16:50:00,2/10/2019,Adoption,,Spayed Female,2 years,12 days 01:01:00,12,B
829437,,2021-02-10 13:44:00,16021 Biltmore Avenue in Travis (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair,Gray Tabby/Black,2021-02-23 09:12:00,2/10/2020,Transfer,Snr,Neutered Male,1 year,12 days 19:28:00,12,Not Adopted
829436,,2021-02-10 13:44:00,16021 Biltmore Avenue in Travis (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Gray Tabby/White,2021-02-23 09:13:00,2/10/2020,Transfer,Snr,Spayed Female,1 year,12 days 19:29:00,12,Not Adopted
829433,,2021-02-10 12:56:00,Loyola Lane And Ed Bluestein Boulevard in Austin (TX),Stray,Injured,Dog,Intact Female,3 years,American Pit Bull Terrier Mix,Gray/White,,,,,,,NaT,New intake,Not Adopted
829431,,2021-02-10 15:49:00,905 Rocking Spur Cove in Travis (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh,Black,2021-02-21 12:57:00,2/10/2020,Adoption,,Intact Male,1 year,10 days 21:08:00,10,B
829425,Rocky,2021-02-10 10:41:00,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,14 years,Labrador Retriever/Border Collie,White/Black,2021-02-23 11:08:00,2/10/2007,Transfer,Partner,Neutered Male,14 years,13 days 00:27:00,13,Not Adopted
829417,*Elsie Otter,2021-02-10 15:49:00,3101 Shoreline Drive in Travis (TX),Owner Surrender,Injured,Dog,Intact Female,5 years,Labrador Retriever Mix,Black/Brown,,,,,,,NaT,New intake,Not Adopted
829408,,2021-02-09 21:32:00,21200 Windmill Ranch Avenue in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-10 08:52:00,2/9/2020,Euthanasia,Rabies Risk,Unknown,1 year,0 days 11:20:00,0,Not Adopted
829405,,2021-02-09 17:35:00,Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Blue/White,2021-02-21 14:56:00,2/9/2020,Transfer,Partner,Intact Female,1 year,11 days 21:21:00,11,Not Adopted
829403,,2021-02-09 13:35:00,Fm 973 in Travis (TX),Stray,Injured,Cat,Intact Female,5 months,Domestic Shorthair,Black/White,,,,,,,NaT,New intake,Not Adopted
829400,Hiro,2021-02-09 15:37:00,5904 Tracy Lynn Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 months,Shiba Inu Mix,Red/Black,2021-02-11 16:08:00,9/2/2020,Adoption,,Neutered Male,5 months,2 days 00:31:00,2,A
829399,Akhkshi,2021-02-09 14:50:00,1401 Cedar Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,11 months,Pit Bull,White/Tan,2021-02-10 14:06:00,3/10/2020,Return to Owner,,Intact Female,11 months,0 days 23:16:00,0,Not Adopted
829391,,2021-02-09 13:57:00,2200 South Pleasant Valley in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Dachshund/Chihuahua Shorthair,Black/Brown,2021-02-22 17:55:00,2/9/2018,Adoption,,Neutered Male,3 years,13 days 03:58:00,13,B
829390,Kheko,2021-02-09 13:44:00,East 13Th Street And Chicon Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Shih Tzu,Tan/White,2021-02-09 16:40:00,2/9/2019,Return to Owner,,Intact Male,2 years,0 days 02:56:00,0,Not Adopted
